,CountryName,CountryCode,HDI,TotalPopulation
0,Afghanistan,AFG,0.511,38.042
1,Angola,AGO,0.581,31.825
2,Albania,ALB,0.795,2.8810000000000002
3,Andorra,AND,0.868,0.077
4,United Arab Emirates,ARE,0.89,9.771
5,Argentina,ARG,0.845,44.781
6,Armenia,ARM,0.776,2.958
7,Antigua and Barbuda,ATG,0.778,0.097
8,Australia,AUS,0.9440000000000001,25.203
9,Austria,AUT,0.922,8.955
10,Azerbaijan,AZE,0.756,10.048
11,Burundi,BDI,0.433,11.531
12,Belgium,BEL,0.931,11.539
13,Benin,BEN,0.545,11.801
14,Burkina Faso,BFA,0.452,20.321
15,Bangladesh,BGD,0.632,163.046
16,Bulgaria,BGR,0.8160000000000001,7.0
17,Bahrain,BHR,0.852,1.641
18,Bahamas,BHS,0.8140000000000001,0.389
19,Bosnia and Herzegovina,BIH,0.78,3.301
20,Belarus,BLR,0.8230000000000001,9.452
21,Belize,BLZ,0.716,0.39
22,Bolivia (Plurinational State of),BOL,0.718,11.513
23,Brazil,BRA,0.765,211.05
24,Barbados,BRB,0.8140000000000001,0.28700000000000003
25,Brunei Darussalam,BRN,0.838,0.433
26,Bhutan,BTN,0.654,0.763
27,Botswana,BWA,0.735,2.304
28,Central African Republic,CAF,0.397,4.745
29,Canada,CAN,0.929,37.411
30,Switzerland,CHE,0.9550000000000001,8.591
31,Chile,CHL,0.851,18.952
32,China,CHN,0.761,1433.784
33,Cote d'Ivoire,CIV,0.538,25.717
34,Cameroon,CMR,0.5630000000000001,25.876
35,Congo (Democratic Republic of the),COD,0.48,86.791
36,Congo,COG,0.5740000000000001,5.381
37,Colombia,COL,0.767,50.339
38,Comoros,COM,0.554,0.851
39,Cabo Verde,CPV,0.665,0.55
40,Costa Rica,CRI,0.81,5.048
41,Cuba,CUB,0.783,11.333
42,Cyprus,CYP,0.887,1.199
43,Czechia,CZE,0.9,10.689
44,Germany,DEU,0.9470000000000001,83.517
45,Djibouti,DJI,0.524,0.974
46,Dominica,DMA,0.742,0.07200000000000001
47,Denmark,DNK,0.9400000000000001,5.772
48,Dominican Republic,DOM,0.756,10.739
49,Algeria,DZA,0.748,43.053
50,Ecuador,ECU,0.759,17.374
51,Egypt,EGY,0.707,100.388
52,Eritrea,ERI,0.459,3.497
53,Spain,ESP,0.904,46.737
54,Estonia,EST,0.892,1.326
55,Ethiopia,ETH,0.485,112.079
56,Finland,FIN,0.9380000000000001,5.532
57,Fiji,FJI,0.743,0.89
58,France,FRA,0.901,65.13
59,Micronesia (Federated States of),FSM,0.62,0.114
60,Gabon,GAB,0.7030000000000001,2.173
61,United Kingdom,GBR,0.932,67.53
62,Georgia,GEO,0.812,3.997
63,Ghana,GHA,0.611,30.418
64,Guinea,GIN,0.47700000000000004,12.771
65,Gambia,GMB,0.496,2.348
66,Guinea-Bissau,GNB,0.48,1.921
67,Equatorial Guinea,GNQ,0.592,1.3559999999999999
68,Greece,GRC,0.888,10.473
69,Grenada,GRD,0.779,0.112
70,Guatemala,GTM,0.663,17.581
71,Guyana,GUY,0.682,0.783
72,"Hong Kong, China (SAR)",HKG,0.9490000000000001,7.436
73,Honduras,HND,0.634,9.746
74,Croatia,HRV,0.851,4.13
75,Haiti,HTI,0.51,11.263
76,Hungary,HUN,0.854,9.685
77,Indonesia,IDN,0.718,270.626
78,India,IND,0.645,1366.418
79,Ireland,IRL,0.9550000000000001,4.882
80,Iran (Islamic Republic of),IRN,0.783,82.914
81,Iraq,IRQ,0.674,39.31
82,Iceland,ISL,0.9490000000000001,0.339
83,Israel,ISR,0.919,8.519
84,Italy,ITA,0.892,60.55
85,Jamaica,JAM,0.734,2.948
86,Jordan,JOR,0.729,10.102
87,Japan,JPN,0.919,126.86
88,Kazakhstan,KAZ,0.8250000000000001,18.551
89,Kenya,KEN,0.601,52.574
90,Kyrgyzstan,KGZ,0.6970000000000001,6.416
91,Cambodia,KHM,0.594,16.487
92,Kiribati,KIR,0.63,0.11800000000000001
93,Saint Kitts and Nevis,KNA,0.779,0.053
94,Korea (Republic of),KOR,0.916,51.225
95,Kuwait,KWT,0.806,4.207
96,Lao People's Democratic Republic,LAO,0.613,7.169
97,Lebanon,LBN,0.744,6.856
98,Liberia,LBR,0.48,4.937
99,Libya,LBY,0.724,6.777
100,Saint Lucia,LCA,0.759,0.183
101,Liechtenstein,LIE,0.919,0.038
102,Sri Lanka,LKA,0.782,21.324
103,Lesotho,LSO,0.527,2.125
104,Lithuania,LTU,0.882,2.76
105,Luxembourg,LUX,0.916,0.616
106,Latvia,LVA,0.866,1.907
107,Morocco,MAR,0.686,36.472
108,Moldova (Republic of),MDA,0.75,4.043
109,Madagascar,MDG,0.528,26.969
